,Neighborhood_FID,buildings_total_units,n_occupied_by_owner,n_ownership_with_current_household,n_owned_without_current_household,n_rented_for_residential_purposes,n_rented_with_current_household,n_rented_without_current_household,n_vacation_and_leisure,n_vacant,n_diplomatic_army,n_commercial_use,we_private_individuals,we_private_companies_legal_entities,we_public_companies,we_housing_cooperative,we_does_not_apply_since_no_condominium,w_less_30,w_30_60,w_60_100,w_100_and_more,w_gewerblich,r_1,r_2,r_3,r_4,r_5,r_6,r_7_and_more,r_gewerblich,gs_buildings_with_living_space,gs_residential_buildings,gs_residential_buildings_no_dormitories,gs_dormitory,gs_other_building_with_living_space,j_before_1919,j_1919_1948,j_1949_1978,j_1979_1995,j_1996_2008,j_2009_and_later,e_community_of_apartment_owners,e_private_persons,e_housing_cooperative,e_municipality_housing_company,e_private_housing_company,e_other_private_company,e_federal_or_state_government,e_nonprofit_organization,gt_detached_house,gt_semidetached_house,gt_terraced_house,gt_other_type_of_building,gg_detached_single_family_house,gg_onefamily_semidetached,gg_onefamily_terraced_house,gg_detached_twofamily,gg_twofamily_semidetached_house,gg_twofamily_terraced_house,gg_apartment_3_6,gg_apartment_7_12,gg_apartment_13,gg_other_building_type,h_district,h_floor,h_block,h_central,h_stoves_night,h_no_heating,z_1_apart,z_2_apart,z_3_6_apart,z_7_12_apart,z_13_and_more_apart,families_total_units,famk_couple_wout_child,famk_couple_1_child_less_18,famk_couple_children_more_18,famk_reg_partner_wout_child,famk_reg_partner_1_child_less_18,famk_reg_partner_children_more_18,famk_nonmarital_wout_child,famk_nonmarital_1_child_less_18,famk_nonmarital_children_more_18,famk_fathers_1_child_less_18,famk_fathers_children_more_18,famk_mothers_1_child_less_18,famk_mothers_children_more_18,famk_wout_child,famk_with_child,famk_single_parent,famk_couple,famk_reg_partner,famk_nonmarital,famk_fathers,famk_mothers,famgr_2_pers,famgr_3_pers,famgr_4_pers,famgr_5_pers,famgr_6_more,fams_seniors_only_x,fams_seniors_young_x,fams_wout_seniors_x,households_total_units,hhtyp_single,hhtyp_couples_wout_child,hhtyp_couples_with_child,hhtyp_single_parent,hhtyp_multiplepers_wout_nuclear,hhleb_single,hhleb_married_couples,hhleb_registered_partner,hhleb_nonmarital_partner,hhleb_single_mothers,hhleb_single_fathers,hhleb_multipers_wout_nuclear,hhgr_1_pers,hhgr_2_pers,hhgr_3_pers,hhgr_4_pers,hhgr_5_pers,hhgr_6_more,fams_seniors_only_y,fams_seniors_young_y,fams_wout_seniors_y,population_total_units,al_10_under,al_10_19,al_20_29,al_30_39,al_40_49,al_50_59,al_60_69,al_70_79,al_80_over,alk_18_under,alk_18_29,alk_30_49,alk_50_64,alk_65_over,fam_single,fam_married,fam_widowed,fam_divorced,fam_civil_partner,fam_civil_partner_deceased,fam_civil_partner_dissolved,fam_unknown,geb_germany,geb_eu27,geb_other_europe,geb_other_world,geb_other,ght_male,ght_female,re_roman_catholic,re_protestant,re_other,sg_germany,sg_eu27,sg_other_europe,sg_other_world,sg_other,sh_germany,sh_bosnia,sh_greece,sh_italy,sh_kazakhstan,sh_croatia,sh_netherlands,sh_austria,sh_poland,sh_romania,sh_russia,sh_turkey,sh_ukraine,sh_other,sk_germany,sk_abroad,sz_one,sz_mult_german_foreign,sz_mult_foreign_only,sz_unknown,Land_Value,Area_Types,Area_Count,City_Name
0,1.0,2440,0,394,0,0,1884,28,0,113,0,0,1039,3,11,0,1373,274,933,962,125,0,379,554,675,551,150,38,31,0,0,0,1906,70,458,139,60,1789,309,49,5,1059,840,0,0,173,101,13,108,151,11,1908,343,3,0,86,9,6,68,435,530,912,343,31,250,12,2052,4,0,153,117,496,576,1078,575,242,51,19,0,0,0,141,12,0,3,6,18,9,0,0,0,0,0,0,0,0,435,90,17,6,0,69,55,432,2292,1568,388,122,51,135,1568,342,0,173,35,12,135,1568,485,129,39,3,0,0,0,0,3727,100,132,981,742,586,441,355,253,119,201,1038,1327,626,529,2184,1015,124,366,15,0,0,3,2598,391,175,512,32,2171,1547,429,1119,2170,2848,323,149,385,3,2848,0,13,12,0,0,3,6,95,24,14,66,12,539,2848,879,3523,192,3,3,1811.5,MixedUseArea_Residential,20,Bremen
1,2.0,3442,0,478,5,0,2764,29,3,123,0,0,1347,15,0,0,2071,373,1534,1257,135,0,458,707,1133,863,171,41,9,0,0,0,3042,26,373,114,86,2946,229,22,0,1368,1175,36,7,494,168,0,49,196,62,2890,272,0,0,26,6,6,72,924,1033,1069,272,36,685,48,2565,7,0,40,103,981,1073,1235,882,292,110,31,0,0,0,277,36,0,15,0,43,18,0,0,0,0,0,0,0,0,665,141,40,10,0,100,90,693,3265,2133,566,195,105,244,2133,447,0,316,76,24,244,2133,770,203,84,25,12,0,0,0,5336,244,184,1568,923,677,527,429,387,385,371,1625,1609,751,978,3163,1198,382,583,13,0,0,0,3928,398,296,599,102,2867,2466,644,1768,2922,4362,299,274,401,6,4362,6,14,21,0,0,0,3,58,10,20,154,13,596,4362,974,4951,369,0,6,1314.3,Residential_SpecialUseArea,3,Bremen
2,3.0,5065,0,1295,6,0,3600,3,9,140,0,0,1659,3,0,0,3390,177,1879,1930,938,0,306,1022,1550,1083,500,284,293,0,0,0,4607,0,450,2162,465,1416,786,46,0,1671,2613,7,21,395,82,16,83,253,130,4448,201,18,7,458,12,21,498,2024,1070,678,201,57,1061,67,3759,22,0,523,559,2108,1123,727,1778,535,282,118,0,0,0,449,92,6,3,3,138,75,0,0,0,0,0,0,0,0,1184,352,188,33,6,126,200,1446,4901,2757,992,523,259,365,2757,939,3,566,229,18,365,2757,1328,469,244,46,30,0,0,0,8435,524,468,1673,1541,1406,1186,950,440,238,878,1784,2948,1768,1056,5075,2188,284,838,42,0,0,3,7080,532,235,495,78,4219,4214,924,2669,4843,7571,396,191,269,3,7571,3,3,40,0,6,6,6,71,3,14,107,4,509,7571,868,8018,399,3,6,1623.7,Residential,2,Bremen
3,4.0,84,0,20,0,0,55,0,0,7,0,0,0,0,0,0,82,0,0,58,0,0,0,4,6,49,6,3,3,0,0,0,76,0,8,5,20,52,0,3,0,0,28,0,0,43,5,0,0,0,6,22,53,0,0,22,0,0,0,6,0,0,53,44,6,0,26,0,0,22,3,11,0,46,49,16,7,3,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,26,6,9,3,0,3,6,39,75,24,19,17,9,0,24,28,0,9,9,0,0,24,25,9,9,3,0,0,0,0,214,36,19,37,21,27,27,19,7,0,50,42,50,46,23,109,85,6,17,0,0,0,0,145,20,22,24,0,114,96,14,46,152,133,20,32,18,10,133,0,3,0,0,0,0,0,12,0,0,24,0,36,133,79,186,15,0,13,172.7,CommercialBuildingArea_Residential,7,Bremen
4,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,6,0,0,0,0,0,0,6,0,0,0,0,3,0,0,0,9,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,9,0,0,0,90.3,CommercialBuildingArea_Residential,3,Bremen
5,6.0,183,0,23,0,0,148,0,0,14,0,0,51,0,0,0,131,3,82,64,3,0,9,26,65,48,13,3,3,0,0,0,161,0,23,20,11,128,12,3,0,51,105,0,0,9,3,0,0,27,25,114,11,0,0,6,0,10,8,104,31,0,11,0,58,0,119,0,0,11,27,109,31,0,67,6,13,0,0,0,0,18,0,0,0,0,15,0,0,0,0,0,0,0,0,0,44,13,3,0,0,3,3,61,168,85,26,19,19,16,85,26,0,18,19,0,16,85,56,13,6,3,0,0,0,0,302,27,19,69,56,51,42,23,16,0,42,70,104,60,25,176,72,7,35,0,0,0,0,240,36,15,6,3,186,118,43,106,154,251,27,20,4,0,251,0,0,0,0,0,0,0,9,5,0,12,0,22,251,52,282,18,0,0,60.0,CommercialBuildingArea,1,Bremen
6,7.0,4217,0,773,8,0,3301,3,0,117,0,0,1674,16,0,3,2517,290,1809,1721,233,0,345,919,1461,1035,299,74,40,0,0,0,3967,15,232,284,203,2795,543,237,0,1702,1772,44,65,341,32,7,78,244,64,3793,95,3,0,67,3,0,124,1367,1761,761,95,212,643,10,3213,29,0,93,142,1390,1786,798,1161,432,115,16,6,0,0,344,42,0,9,9,64,37,0,0,0,0,0,0,0,0,901,152,63,15,0,120,113,903,4080,2584,789,215,150,329,2584,598,6,400,130,17,329,2584,1039,284,104,23,6,0,0,0,6483,267,217,1856,1151,858,667,561,498,408,413,1923,2011,982,1159,3897,1447,468,642,27,0,0,0,5205,433,236,481,101,3313,3168,823,2344,3316,5681,319,196,269,3,5681,9,9,33,0,0,3,12,67,3,23,89,7,484,5681,793,6132,334,0,3,1243.5,CommercialBuildingArea_Residential,5,Bremen
7,8.0,2530,0,529,0,0,1902,0,0,92,0,0,792,7,0,0,1727,99,1250,930,189,0,120,399,1009,656,165,101,73,0,0,0,2462,0,70,324,220,1783,135,28,0,803,1554,7,0,79,0,0,13,83,71,2330,36,3,3,119,0,9,237,1366,606,137,36,21,918,0,1520,26,0,128,258,1370,614,153,812,248,112,38,0,0,0,237,39,0,3,6,58,34,0,0,0,0,0,0,0,0,576,146,68,9,3,84,72,657,2434,1382,490,207,114,241,1382,408,0,286,92,21,241,1382,705,211,100,18,18,0,0,0,4119,205,226,1220,729,607,434,337,245,119,357,1295,1332,629,507,2509,974,176,443,18,0,0,0,3276,277,230,304,26,2150,1969,521,1476,2124,3481,214,225,180,3,3481,6,7,14,0,3,0,3,54,9,8,142,6,348,3481,638,3885,213,6,6,657.9,Residential,2,Bremen
8,9.0,4389,0,1065,0,0,3197,0,0,115,0,0,950,23,0,0,3410,134,1614,1791,781,0,152,614,1482,1022,502,285,328,0,0,0,4233,0,151,1165,1473,1589,41,41,5,980,2583,30,406,241,14,3,11,159,60,4111,26,0,6,407,9,4,683,2017,1079,117,26,43,1575,7,2684,12,5,430,710,2036,1083,117,1781,495,305,135,3,0,0,441,116,12,9,6,152,96,0,0,0,0,0,0,0,0,1152,379,201,36,6,167,174,1447,4263,2107,941,569,275,372,2107,933,3,570,249,19,372,2107,1322,487,243,78,15,0,0,0,7731,536,495,1809,1349,1166,1000,670,442,267,902,1936,2516,1383,996,4567,2095,358,691,13,0,0,3,6559,390,308,421,44,3696,4035,901,2723,4107,6936,286,288,218,0,6936,7,0,35,0,0,0,3,40,3,0,197,9,421,6936,797,7371,353,6,0,822.0,Residential,2,Bremen
9,10.0,2986,0,750,0,0,2152,0,0,82,0,0,797,33,0,0,2151,137,1259,1115,422,0,113,459,1044,716,283,168,192,0,0,0,2835,5,145,597,733,1462,112,15,7,834,1785,12,132,97,40,0,6,143,64,2727,34,6,6,377,13,11,380,1406,653,74,34,46,1132,40,1713,11,0,402,411,1433,660,74,1061,333,178,68,0,0,0,243,56,0,3,9,97,49,0,0,0,0,0,0,0,0,708,190,123,33,6,111,104,841,2904,1601,582,319,161,244,1601,582,0,312,142,15,244,1601,800,265,150,53,24,0,0,0,5055,307,349,1259,819,830,597,411,315,171,584,1332,1649,817,674,2983,1347,218,491,18,0,0,0,4173,296,277,280,24,2515,2540,532,1746,2777,4372,240,264,173,3,4372,3,9,16,0,3,3,0,23,7,15,182,0,372,4372,683,4787,251,6,3,769.7,Residential,2,Bremen
10,11.0,2870,0,918,0,0,1916,6,0,25,0,0,1250,28,6,3,1577,51,860,1661,165,0,124,369,979,1020,179,66,84,0,0,0,2836,0,30,61,166,2587,6,4,17,1293,492,28,867,102,0,0,0,126,187,2459,87,11,0,138,19,7,101,518,1553,411,87,377,461,560,1338,60,0,157,125,526,1571,470,1212,468,204,60,0,0,0,196,53,0,9,3,110,65,0,0,0,0,0,0,0,0,820,233,107,36,0,226,137,850,2837,1502,665,338,206,120,1502,744,0,253,183,15,120,1502,865,270,140,36,3,0,0,0,4892,341,338,827,631,713,556,572,537,383,591,912,1342,878,1170,2245,1688,435,517,3,0,0,0,4011,277,333,252,21,2279,2613,510,1797,2585,4315,149,308,120,0,4315,9,0,9,0,0,3,6,19,12,6,240,3,224,4315,578,4591,298,0,0,634.7,Residential,3,Bremen
11,12.0,3884,0,1120,3,0,2600,3,0,152,0,0,1117,35,0,0,2725,43,1488,1651,588,0,85,575,1292,1015,393,251,252,0,0,0,3711,5,165,1338,665,1276,291,192,0,1160,2313,33,46,173,4,0,27,165,136,3485,80,5,0,406,23,21,590,1702,749,278,80,62,1424,50,2260,15,0,435,650,1730,753,304,1511,485,231,85,0,0,0,354,91,6,6,0,135,74,0,0,0,0,0,0,0,0,1016,298,158,16,9,132,161,1223,3724,1954,845,431,239,265,1954,804,3,463,204,9,265,1954,1105,384,192,43,42,0,0,0,6651,419,431,1422,1160,1104,840,584,402,287,739,1532,2265,1170,939,3858,1826,365,586,16,0,0,0,5720,345,231,299,57,3227,3424,700,2534,3416,6022,242,224,156,4,6022,6,13,12,0,0,6,3,43,6,9,138,9,323,6022,627,6368,275,0,4,765.2,Residential,4,Bremen
12,13.0,854,0,253,0,0,563,0,0,16,0,0,69,34,0,0,747,41,306,213,157,0,82,146,212,141,106,69,67,0,0,0,832,0,17,38,146,493,62,60,0,106,400,84,48,116,60,5,0,230,167,434,9,89,81,49,56,6,49,141,181,178,9,9,262,7,537,3,0,232,122,141,181,178,364,145,47,27,0,0,0,37,3,0,0,0,22,29,0,0,0,0,0,0,0,0,244,61,36,0,0,67,54,232,823,415,193,98,62,36,415,238,0,49,58,0,36,415,249,76,42,9,3,0,0,0,1503,96,105,305,197,203,201,168,142,70,169,337,405,285,294,719,560,89,125,0,0,0,0,1104,135,88,146,11,806,690,171,514,813,1233,100,76,72,0,1233,0,0,10,0,0,3,3,14,12,0,51,3,131,1233,265,1394,103,0,0,129.7,CommercialBuildingArea_OtherArea_Residential,4,Bremen
13,14.0,3586,0,1291,0,0,2146,0,0,126,0,0,876,3,0,0,2691,57,1012,1628,611,0,85,529,928,1078,415,256,225,0,0,0,3423,10,148,522,946,1209,288,402,43,887,2034,21,42,360,37,13,13,516,138,2821,67,69,43,791,56,33,285,969,736,472,67,199,891,73,2297,18,0,936,385,1012,742,485,1713,575,397,94,0,0,0,249,65,6,9,9,140,61,0,0,0,0,0,0,0,0,1021,374,206,65,12,184,213,1301,3452,1507,837,602,271,232,1507,1085,0,337,231,28,232,1507,1072,451,253,91,46,0,0,0,7114,569,687,1277,1004,1142,890,653,537,322,1123,1420,2155,1217,1188,3555,2501,430,605,24,0,0,0,5589,385,585,406,96,3603,3498,723,2312,4062,5850,306,667,256,10,5850,13,16,10,0,4,4,6,79,6,13,577,8,434,5850,1262,6730,359,0,10,218.7,CommercialBuildingArea_OtherArea_Residential,16,Bremen
14,15.0,3615,0,2739,0,0,788,0,0,33,0,0,391,0,0,0,3226,3,192,799,2072,0,6,136,331,638,1007,800,596,0,0,0,3502,47,60,126,362,1022,1588,135,54,394,3143,9,3,0,15,0,0,1339,695,1507,36,797,484,1340,296,139,29,347,75,59,36,63,397,19,2978,24,0,2651,477,356,75,72,2530,1279,483,324,0,0,0,97,33,6,3,6,35,53,0,0,0,0,0,0,0,0,1550,543,321,33,6,599,422,1508,3555,928,1416,921,171,58,928,2119,0,177,136,9,58,928,1543,578,347,62,9,0,0,0,8023,522,766,643,653,1176,1269,1481,1105,348,1115,838,1831,2043,2199,2514,4482,587,423,0,0,0,0,7305,253,106,213,36,3882,4133,633,3781,3607,7703,50,88,118,3,7703,0,0,0,0,6,3,0,12,0,9,24,3,187,7703,306,7809,180,0,3,278.6,AgriculturalArea_CommercialBuildingArea_OtherArea_Residential,10,Bremen
15,16.0,3840,0,2396,0,0,1392,0,0,18,0,0,602,46,0,0,3182,7,448,1132,1736,0,91,426,561,705,911,697,369,0,0,0,3802,0,28,131,138,1279,745,1104,26,657,2443,0,49,598,0,0,3,882,601,2285,24,335,444,1364,180,83,26,285,375,669,24,772,270,54,2583,9,0,2180,308,295,375,670,2701,967,809,328,3,0,0,125,52,0,12,0,154,72,0,0,0,0,0,0,0,0,1309,657,562,88,24,384,278,2019,3795,1001,1110,1251,287,51,1001,2118,3,230,248,18,51,1001,1292,660,591,125,38,0,0,0,9315,826,1217,874,1027,1723,1251,1062,842,482,1796,1122,2748,1838,1793,3451,4639,632,565,6,0,0,0,7446,548,477,686,105,4427,4885,1070,3938,4295,8672,136,339,107,11,8672,4,3,0,6,6,3,0,48,0,49,216,26,193,8672,629,8311,983,0,11,295.3,CommercialBuildingArea_Residential,7,Bremen
16,17.0,6148,0,1920,0,0,4069,0,0,79,0,0,1271,99,0,0,4761,6,1740,2910,851,0,130,793,1772,1780,803,388,315,0,0,0,6030,13,99,118,942,4193,347,231,6,1381,1967,0,1203,1307,10,0,0,1019,538,4230,313,302,329,632,166,90,78,1232,1741,1199,313,552,443,55,4578,326,0,1317,331,1268,1809,1394,3333,1232,772,333,0,0,0,213,107,9,9,3,309,139,0,0,0,0,0,0,0,0,1819,769,498,152,42,522,416,2394,6023,2511,1482,1290,542,147,2511,2363,0,373,477,37,147,2511,1850,789,525,171,78,0,0,0,12505,1224,1338,1604,1589,1907,1685,1460,1226,471,2273,1897,3500,2424,2429,5207,5285,795,1175,15,0,0,6,8818,1031,1150,1356,78,6020,6478,1662,4063,6779,10276,449,1178,530,22,10276,9,5,33,17,3,6,3,182,22,58,824,41,886,10276,2220,10719,1720,20,25,206.5,CommercialBuildingArea_Residential,8,Bremen
17,18.0,2488,0,1574,3,0,840,0,0,46,0,0,105,7,0,0,2369,42,423,816,969,0,45,79,301,602,659,433,325,0,0,0,2395,64,25,15,91,1862,193,175,9,112,1792,368,25,51,63,0,0,480,111,1831,34,248,79,1311,73,10,21,430,183,68,34,92,171,439,1671,44,0,1667,117,444,183,87,1529,684,368,173,0,0,0,84,24,0,0,0,67,24,0,0,0,0,0,0,0,0,898,318,236,43,3,347,223,974,2417,826,785,586,144,36,826,1227,0,121,115,6,36,826,890,351,248,52,4,0,0,0,5224,455,459,492,580,782,639,740,703,386,805,590,1353,1001,1464,1781,2603,468,364,9,0,0,0,4306,315,201,306,78,2503,2721,612,2097,2510,4941,81,112,56,0,4941,4,4,3,0,0,0,0,21,5,9,59,6,112,4941,273,4809,407,3,0,247.1,Residential,4,Bremen
